Rating	ID
2029	731
2859	67284
2336	29525
2560	60220
2733	38004
2532	32278
2592	30474
2386	43871
2379	39706
2478	34991
2510	37895
2068	28569
2499	35957
2620	40794
2271	28280
2216	31430
2292	33445
2375	37452
1917	33571
2417	75772
2433	38695
2134	37301
2415	41502
2253	30053
2427	31149
2229	86446
2341	169483
1784	793
2404	163457
2427	166285
2442	122771
2289	175455
2213	36820
2329	44551
2161	35139
2299	39203
1882	33508
2578	75841
2191	29402
2314	172222
2280	33722
2153	28893
2418	163637
2181	37185
2228	29603
2174	29801
2470	38617
2333	34468
2249	152442
2166	30131
2367	193827
2222	36814
2139	29464
2204	30553
2146	34240
2168	63599
2279	153531
2149	29587
2092	35122
2132	38615
2285	80327
2364	33524
2269	157448
2220	36978
2212	52072
2428	154867
2295	741
2369	73512
2429	43224
2236	30435
2153	85187
2250	30500
2157	35294
2261	29409
2072	31396
2300	105155
2176	76691
2343	97705
1940	816
2569	27962
2056	28621
2367	34960
1806	29466
2241	147619
2179	41284
2093	35873
2124	30242
2158	36933
2351	64653
2164	195099
2680	46586
2158	30347
2284	163523
2299	65263
2319	115743
2050	38618
2036	35874
2130	34305
2142	35771
2218	63379
2177	129537
2149	31646
2071	35969
2079	39627
2003	30402
2123	100725
2196	37007
1995	104566
2281	131220
2290	36406
2040	29459
2278	136017
2186	175594
2102	41422
2317	34042
2187	40707
2187	180264
2526	37493
2152	33813
2244	77872
2138	39218
2165	55586
2210	46926
2308	32140
2077	40718
2136	55214
2112	57369
2129	38741
2204	37143
2402	39305
2667	54849
2102	808
2170	90237
2154	151058
2200	30477
2236	97568
2215	27820
2163	88772
2320	167326
2264	28399
2177	39910
2041	27193
2107	54211
2202	144633
2002	33201
2074	55503
2234	37248
2243	42273
2014	44419
2342	72553
1976	57599
2290	135642
2138	72203
2152	48723
2019	39295
2362	30193
2079	26866
2527	44167
2348	101353
2205	110676
2122	30639
2123	39974
2252	62415
2118	31075
2147	40365
2128	27530
2334	28764
2408	76562
2315	41695
2219	148289
2087	93106
2136	188408
2008	39578
2139	65878
2012	923
2062	42688
2153	193968
2227	40474
2024	38427
2116	132215
2088	139759
1968	38360
2473	41486
2286	172228
2030	38764
2129	47499
2399	44731
1992	131776
2169	190932
2218	181037
2065	36062
2060	43681
1972	37328
2176	157973
2177	60451
2030	66780
2127	35321
1982	176061
2100	38191
2101	30582
2017	41521
2499	109303
2327	47640
2105	56099
1994	37791
2180	125028
2176	128237
2062	35339
2009	28201
2339	156943
1899	29990
2026	33278
2113	47016
1955	118472
2171	133787
1959	28663
2132	51120
2095	72978
2099	27331
1744	52316
2135	34637
2236	37482
2410	98444
2161	188739
2053	35540
2104	46339
2157	55956
2088	37436
2533	179346
1966	37940
2286	41529
2007	30319
2055	51753
2286	55449
2100	45908
2092	86246
2240	40855
2008	87140
2057	40945
2291	111234
2107	85298
2192	27832
2077	105435
2138	39502
2093	79549
2084	94867
2163	30857
2161	45765
